generation,fitness_std,geno_diversity,best_valid_numberOfPoints,best_valid_mse,best_valid_fitness,best_overall_numberOfPoints,best_overall_mse,best_overall_fitness,avg_numberOfPoints,avg_mse,avg_fitness,number_valid_individuals,total_time,run_id
31,NaN,0.2499749999999999,52,6.512751144263207,Inf,52,6.512751144263207,Inf,51.995,7.0142834950298285,Inf,200,0.690456094,65
32,NaN,0.24924999999999983,52,6.512751144263207,Inf,52,6.512751144263207,Inf,51.99,6.953545868042105,Inf,200,0.7154457949999999,65
33,NaN,0.24904999999999988,52,6.512751144263207,Inf,52,6.512751144263207,Inf,51.99,6.901935933042105,Inf,200,0.7396645949999999,65
34,NaN,0.24647499999999986,52,6.466184394666307,Inf,52,6.466184394666307,Inf,51.995,6.8451539539643775,Inf,200,0.7631802939999999,65
35,NaN,0.24619999999999984,52,6.466184394666307,Inf,52,6.466184394666307,Inf,52.0,6.7814801738678625,Inf,200,0.7859023939999998,65
36,NaN,0.24392499999999992,52,6.361485465056373,Inf,52,6.361485465056373,Inf,51.995,6.729036193071474,Inf,200,0.8046804949999998,65
37,NaN,0.24272499999999986,52,6.355491701081927,Inf,52,6.355491701081927,Inf,51.995,6.685454802580965,Inf,200,0.8254672959999998,65
38,NaN,0.2431749999999999,52,6.274415121692166,Inf,52,6.274415121692166,Inf,51.995,6.632601928797599,Inf,200,0.8451337969999998,65
39,NaN,0.2408499999999999,52,6.1818555693973565,Inf,52,6.1818555693973565,Inf,51.99,6.584469200623036,Inf,200,0.8675072959999998,65
40,NaN,0.23927499999999988,52,6.1818555693973565,Inf,52,6.1818555693973565,Inf,51.985,6.546738163774284,Inf,200,0.8888841959999998,65
41,NaN,0.2398999999999999,52,6.1818555693973565,Inf,52,6.1818555693973565,Inf,51.99,6.5002285136703835,Inf,200,0.9088154959999998,65
42,NaN,0.2388749999999999,52,6.1818555693973565,Inf,52,6.1818555693973565,Inf,51.995,6.457208617686969,Inf,200,0.9323010959999998,65
43,NaN,0.23844999999999988,52,6.162055554582393,Inf,52,6.162055554582393,Inf,52.0,6.414608629870786,Inf,200,0.9601433959999998,65
44,NaN,0.23767499999999983,52,6.157267800631339,Inf,52,6.157267800631339,Inf,51.995,6.374838519636727,Inf,200,0.9807861959999997,65
45,NaN,0.2379999999999999,52,6.131308113197861,Inf,52,6.131308113197861,Inf,51.99,6.339341531335073,Inf,200,1.0016720949999998,65
46,NaN,0.23699999999999988,52,6.098014377886341,Inf,52,6.098014377886341,Inf,51.98,6.308894749614444,Inf,200,1.0227811949999999,65
47,NaN,0.23769999999999988,52,5.991726634988966,Inf,52,5.991726634988966,Inf,51.99,6.275998580092103,Inf,200,1.052048395,65
48,NaN,0.23702499999999982,52,5.991726634988966,Inf,52,5.991726634988966,Inf,51.995,6.247698732958114,Inf,200,1.076684595,65
49,NaN,0.23537499999999995,52,5.953684892710241,Inf,52,5.953684892710241,Inf,51.995,6.218039098945471,Inf,200,1.095339694,65
50,NaN,0.2357999999999999,52,5.953684892710241,Inf,52,5.953684892710241,Inf,51.98,6.1954681971096965,Inf,200,1.117475193,65
51,NaN,0.23477499999999984,52,5.953684892710241,Inf,52,5.953684892710241,Inf,51.985,6.171704873347372,Inf,200,1.139186193,65
52,NaN,0.2334499999999999,52,5.953684892710241,Inf,52,5.953684892710241,Inf,51.99,6.14577156036654,Inf,200,1.163433293,65
53,NaN,0.23294999999999988,52,5.953684892710241,Inf,52,5.953684892710241,Inf,51.99,6.123020209221416,Inf,200,1.187536793,65
54,NaN,0.23039999999999985,52,5.953684892710241,Inf,52,5.953684892710241,Inf,51.99,6.100580382405574,Inf,200,1.212994594,65
55,NaN,0.22912499999999988,52,5.903144670759709,Inf,52,5.903144670759709,Inf,51.985,6.07551450697046,Inf,200,1.236972593,65
56,NaN,0.2267499999999999,52,5.903144670759709,Inf,52,5.903144670759709,Inf,51.98,6.052532236255726,Inf,200,1.259549992,65
57,NaN,0.22717499999999988,52,5.859231390381277,Inf,52,5.859231390381277,Inf,51.975,6.031520447704653,Inf,200,1.278634492,65
58,NaN,0.2280499999999999,52,5.75904343636702,Inf,52,5.75904343636702,Inf,51.99,6.011177442003956,Inf,200,1.3011401919999999,65
59,NaN,0.22789999999999985,52,5.75904343636702,Inf,52,5.75904343636702,Inf,51.98,5.991065323679322,Inf,200,1.329075992,65
60,NaN,0.22559999999999988,52,5.75904343636702,Inf,52,5.75904343636702,Inf,51.98,5.97429118557516,Inf,200,1.348291792,65
61,NaN,0.2250749999999999,52,5.75904343636702,Inf,52,5.75904343636702,Inf,51.995,5.953208973908955,Inf,200,1.370483492,65
62,NaN,0.22319999999999993,52,5.75904343636702,Inf,52,5.75904343636702,Inf,52.0,5.93772881647288,Inf,200,1.3885167919999999,65
