dataset,length,remaining_points,mse,time
subject103_6,10000,251,0.22538313563199927,68.8463882
Ham,10000,251,0.19062854074806443,68.542824499
Rock,10000,251,0.0065313873886977195,68.6849592
HandOutlines,10000,251,2.9208191568039276e-5,68.971867
HandOutlines,20000,501,2.2233501842085495e-5,549.291022601
Phoneme,10000,251,0.5674257874164061,68.7561363
Phoneme,20000,501,0.35691075791033117,549.2450668
StarLightCurves,10000,251,0.00026581686589914236,68.2230145
StarLightCurves,20000,501,0.0003638989078088428,547.4339468
Donoho-Johnstone,2048,52,4.918792787516198,0.6213201
MALLAT_,8192,206,0.005145870556320457,37.9270277
subject103_5,10000,251,0.05345312285181128,69.3511162
subject103_6,10000,251,0.22538313563199927,68.9690557
Ham,10000,251,0.19062854074806443,68.6929298
Rock,10000,251,0.0065313873886977195,68.7684262
HandOutlines,10000,251,2.9208191568039276e-5,68.3149313
HandOutlines,20000,501,2.2233501842085495e-5,546.5869044
Phoneme,10000,251,0.5674257874164061,68.713172999
Phoneme,20000,501,0.35691075791033117,548.271070501
StarLightCurves,10000,251,0.00026581686589914236,68.375064
StarLightCurves,20000,501,0.0003638989078088428,549.292562501
Donoho-Johnstone,2048,52,4.918792787516198,0.5947737
MALLAT_,8192,206,0.005145870556320457,38.172489299
subject103_5,10000,251,0.05345312285181128,68.745846099
subject103_6,10000,251,0.22538313563199927,68.588061
Ham,10000,251,0.19062854074806443,68.4069664
Rock,10000,251,0.0065313873886977195,68.6440967
HandOutlines,10000,251,2.9208191568039276e-5,69.0532772
HandOutlines,20000,501,2.2233501842085495e-5,549.109599601
Phoneme,10000,251,0.5674257874164061,68.44279
Phoneme,20000,501,0.35691075791033117,548.0682966
StarLightCurves,10000,251,0.00026581686589914236,68.795121801
StarLightCurves,20000,501,0.0003638989078088428,547.9070094
Donoho-Johnstone,2048,52,4.918792787516198,0.5872633
MALLAT_,8192,206,0.005145870556320457,37.507375099
subject103_5,10000,251,0.05345312285181128,68.8867572
subject103_6,10000,251,0.22538313563199927,69.2009252
Ham,10000,251,0.19062854074806443,68.5333165
Rock,10000,251,0.0065313873886977195,69.1976659
HandOutlines,10000,251,2.9208191568039276e-5,68.8382233
HandOutlines,20000,501,2.2233501842085495e-5,548.113812499
Phoneme,10000,251,0.5674257874164061,69.1466079
Phoneme,20000,501,0.35691075791033117,549.892793101
StarLightCurves,10000,251,0.00026581686589914236,68.585655801
StarLightCurves,20000,501,0.0003638989078088428,551.027840999
Donoho-Johnstone,2048,52,4.918792787516198,0.6129224
MALLAT_,8192,206,0.005145870556320457,37.9697094
subject103_5,10000,251,0.05345312285181128,69.4276669
subject103_6,10000,251,0.22538313563199927,69.194786
Ham,10000,251,0.19062854074806443,68.8038179
Rock,10000,251,0.0065313873886977195,69.215687301
HandOutlines,10000,251,2.9208191568039276e-5,69.1182623
HandOutlines,20000,501,2.2233501842085495e-5,550.0172761
Phoneme,10000,251,0.5674257874164061,68.644761999
Phoneme,20000,501,0.35691075791033117,549.0214225
StarLightCurves,10000,251,0.00026581686589914236,68.590395
StarLightCurves,20000,501,0.0003638989078088428,548.768151501
Donoho-Johnstone,2048,52,4.918792787516198,0.610468999
MALLAT_,8192,206,0.005145870556320457,37.4074968
subject103_5,10000,251,0.05345312285181128,68.848544901
subject103_6,10000,251,0.22538313563199927,69.080214999
Ham,10000,251,0.19062854074806443,68.440156401
Rock,10000,251,0.0065313873886977195,68.7974665
HandOutlines,10000,251,2.9208191568039276e-5,68.894697601
HandOutlines,20000,501,2.2233501842085495e-5,548.859690799
Phoneme,10000,251,0.5674257874164061,69.6619859
Phoneme,20000,501,0.35691075791033117,550.0330025
StarLightCurves,10000,251,0.00026581686589914236,68.2432257
StarLightCurves,20000,501,0.0003638989078088428,548.735098401
Donoho-Johnstone,2048,20,6.5687530045694835,0.2275484
MALLAT_,8192,81,0.09111555543713028,15.0554319
subject103_5,10000,100,0.13038693174413854,27.5137255
subject103_6,10000,100,0.4041203888541329,27.618537599
Ham,10000,100,0.5224682117653812,27.7634588
Rock,10000,100,0.02735039950928995,27.604114
HandOutlines,20000,200,0.0001663122099248274,217.4606963
Phoneme,20000,200,0.5660806062012352,216.8864532
StarLightCurves,20000,200,0.004180015718975837,218.002883999
Donoho-Johnstone,2048,20,6.5687530045694835,0.2249417
MALLAT_,8192,81,0.09111555543713028,14.8849574
subject103_5,10000,100,0.13038693174413854,27.2450995
subject103_6,10000,100,0.4041203888541329,27.495245799
Ham,10000,100,0.5224682117653812,27.4592387
Rock,10000,100,0.02735039950928995,27.517057
HandOutlines,20000,200,0.0001663122099248274,219.2504099
Phoneme,20000,200,0.5660806062012352,220.690774699
StarLightCurves,20000,200,0.004180015718975837,220.1294594
Donoho-Johnstone,2048,20,6.5687530045694835,0.2322611
MALLAT_,8192,81,0.09111555543713028,14.8766931
subject103_5,10000,100,0.13038693174413854,27.7011803
subject103_6,10000,100,0.4041203888541329,27.720422399
Ham,10000,100,0.5224682117653812,27.5285385
Rock,10000,100,0.02735039950928995,27.495313799
HandOutlines,20000,200,0.0001663122099248274,221.2720623
Phoneme,20000,200,0.5660806062012352,220.4971605
StarLightCurves,20000,200,0.004180015718975837,220.954971199
Donoho-Johnstone,2048,20,6.5687530045694835,0.225263
MALLAT_,8192,81,0.09111555543713028,14.7434487
subject103_5,10000,100,0.13038693174413854,27.379038101
subject103_6,10000,100,0.4041203888541329,27.4730947
Ham,10000,100,0.5224682117653812,27.6137953
Rock,10000,100,0.02735039950928995,27.477437
HandOutlines,20000,200,0.0001663122099248274,219.935626101
Phoneme,20000,200,0.5660806062012352,220.3681425
StarLightCurves,20000,200,0.004180015718975837,223.2228956
Donoho-Johnstone,2048,20,6.5687530045694835,0.2348875
MALLAT_,8192,81,0.09111555543713028,14.9050366
subject103_5,10000,100,0.13038693174413854,27.520183901
subject103_6,10000,100,0.4041203888541329,27.7468058
Ham,10000,100,0.5224682117653812,27.513865001
Rock,10000,100,0.02735039950928995,27.4520103
HandOutlines,20000,200,0.0001663122099248274,218.9723046
Phoneme,20000,200,0.5660806062012352,219.5277552
StarLightCurves,20000,200,0.004180015718975837,220.2498681
Donoho-Johnstone,2048,20,6.5687530045694835,0.2257402
MALLAT_,8192,81,0.09111555543713028,14.8789017
subject103_5,10000,100,0.13038693174413854,27.6901667
subject103_6,10000,100,0.4041203888541329,27.712227199
Ham,10000,100,0.5224682117653812,27.325642
Rock,10000,100,0.02735039950928995,27.3454996
HandOutlines,20000,200,0.0001663122099248274,221.134832899
Phoneme,20000,200,0.5660806062012352,223.145194801
StarLightCurves,20000,200,0.004180015718975837,220.089683499
Donoho-Johnstone,2048,20,6.5687530045694835,0.2290169
MALLAT_,8192,81,0.09111555543713028,14.9592883
subject103_5,10000,100,0.13038693174413854,27.5758532
subject103_6,10000,100,0.4041203888541329,27.737659001
Ham,10000,100,0.5224682117653812,27.2435084
Rock,10000,100,0.02735039950928995,27.319016301
HandOutlines,20000,200,0.0001663122099248274,218.6198451
Phoneme,20000,200,0.5660806062012352,221.0234083
StarLightCurves,20000,200,0.004180015718975837,218.6360762
Donoho-Johnstone,2048,20,6.5687530045694835,0.2587685
MALLAT_,8192,81,0.09111555543713028,14.6710759
subject103_5,10000,100,0.13038693174413854,27.2721865
subject103_6,10000,100,0.4041203888541329,27.4269257
Ham,10000,100,0.5224682117653812,27.3177436
Rock,10000,100,0.02735039950928995,27.4403277
HandOutlines,20000,200,0.0001663122099248274,221.237560599
Phoneme,20000,200,0.5660806062012352,222.4962422
StarLightCurves,20000,200,0.004180015718975837,221.524972
Donoho-Johnstone,2048,20,6.5687530045694835,0.2286252
MALLAT_,8192,81,0.09111555543713028,15.2712863
subject103_5,10000,100,0.13038693174413854,27.514801299
subject103_6,10000,100,0.4041203888541329,27.8509083
Ham,10000,100,0.5224682117653812,27.366121201
Rock,10000,100,0.02735039950928995,27.403853999
HandOutlines,20000,200,0.0001663122099248274,220.068077
Phoneme,20000,200,0.5660806062012352,220.5294971
StarLightCurves,20000,200,0.004180015718975837,220.401682301
Donoho-Johnstone,2048,20,6.5687530045694835,0.2546484
MALLAT_,8192,81,0.09111555543713028,15.1462329
subject103_5,10000,100,0.13038693174413854,27.7131655
subject103_6,10000,100,0.4041203888541329,27.6960759
Ham,10000,100,0.5224682117653812,27.2425151
Rock,10000,100,0.02735039950928995,27.2505488
HandOutlines,20000,200,0.0001663122099248274,220.1608674
Phoneme,20000,200,0.5660806062012352,220.842200601
StarLightCurves,20000,200,0.004180015718975837,220.0832021
subject103_5,30000,300,0.13090778410550927,742.5610751
subject103_6,30000,300,0.30046821332056806,756.163922
subject103_5,30000,300,0.13090778410550927,760.041518
subject103_6,30000,300,0.30046821332056806,759.1563327
subject103_5,30000,300,0.13090778410550927,748.0188243
subject103_6,30000,300,0.30046821332056806,748.3918819
subject103_5,30000,300,0.13090778410550927,746.7490004
subject103_6,30000,300,0.30046821332056806,749.7583674
subject103_5,30000,300,0.13090778410550927,750.3494844
subject103_6,30000,300,0.30046821332056806,747.2408475
subject103_5,30000,300,0.13090778410550927,746.1313521
subject103_6,30000,300,0.30046821332056806,747.5744321
subject103_5,30000,300,0.13090778410550927,747.8649273
subject103_6,30000,300,0.30046821332056806,750.0266386
subject103_5,30000,300,0.13090778410550927,749.0007346
subject103_6,30000,300,0.30046821332056806,747.3932154
subject103_5,30000,300,0.13090778410550927,746.994936501
subject103_6,30000,300,0.30046821332056806,748.8338345
subject103_5,30000,300,0.13090778410550927,749.193152501
subject103_6,30000,300,0.30046821332056806,752.0107031
Ham,20000,200,0.512361315799192,215.552571501
Rock,20000,200,0.2699271716731074,213.8106705
Ham,20000,200,0.512361315799192,218.132767401
Rock,20000,200,0.2699271716731074,216.0177134
subject103_5,20000,200,0.30476566246262143,216.7613483
subject103_6,20000,200,0.6313378408931029,217.792612699
Ham,20000,200,0.512361315799192,218.7999808
Rock,20000,200,0.2699271716731074,216.8293588
subject103_5,20000,200,0.30476566246262143,217.8742764
subject103_6,20000,200,0.6313378408931029,219.994272001
Ham,20000,200,0.512361315799192,215.7439665
Rock,20000,200,0.2699271716731074,218.430739
subject103_5,20000,200,0.30476566246262143,218.245136599
subject103_6,20000,200,0.6313378408931029,218.6798541
Ham,20000,200,0.512361315799192,219.2166223
Rock,20000,200,0.2699271716731074,220.425982799
subject103_5,20000,200,0.30476566246262143,219.3780277
subject103_6,20000,200,0.6313378408931029,219.5568128
Ham,20000,200,0.512361315799192,218.832587801
Rock,20000,200,0.2699271716731074,218.274176399
subject103_5,20000,200,0.30476566246262143,219.5128293
subject103_6,20000,200,0.6313378408931029,219.5618382
Phoneme,30000,300,0.5461643044894279,737.4336165
Phoneme,30000,300,0.5461643044894279,739.333425199
Phoneme,30000,300,0.5461643044894279,736.5931685
Phoneme,30000,300,0.5461643044894279,736.576980601
Phoneme,30000,300,0.5461643044894279,736.298629701
